"","document","topic","gamma"
"354","Where's Waldo: The Second Coming ",1,0.000199013744083034
"355","White Slaves of the Nootka ",1,0.000211386370599074
"356","Winter in Peru: A Visual Ode to the Waves of Peru ",1,0.000175099986662462
"357","Wolves of the Rail ",1,0.000230492579313099
"358","XXII Central American and Caribbean Games ",1,0.000281352876104287
"359","Zero Point Theory ",1,0.0002977798376196
"360","""All Your Living Needs"" ",1,0.000388514466312638
"361","""Because of Meeting You"" ",1,0.991631832291555
"362","""Chasing Silver: A Tarpon Journey"" ",1,0.000149446194604298
"363","""Chronexia and the Eight Seals"" ",1,0.000266643541740052
"364","""Corsets to Catwalk"" ",1,0.000348673654518562
"365","""Cowboy and Lucky"" ",1,0.000438634562333073
"366","""Eleventh Incarnation"" ",1,0.000289333383436138
"367","""Ghost Stories from the Burgh"" ",1,0.000125536278170196
"368","""Hamsa, hope of the lost worlds"" ",1,0.000266643541740057
"369","""High & Low: The Story of S.W.O.R.D."" ",1,0.000113018120038563
"370","""In Search of History"" ",1,0.000388514466312632
"371","""Into the Sky"" ",1,0.00030673427263694
"372","""Man vs. the Universe"" ",1,0.000172144962558282
"373","""Murphy's Law of Love"" ",1,0.00034867365451857
"374","""Nikola Tesla and the End of the World"" ",1,0.00040389812470077
"375","""Ring of Honor PPV"" ",1,0.000337149161893269
"376","""Skating with the Stars"" ",1,0.000326362118537638
"377","""Sounds of the Game"" ",1,0.000316243935177599
"378","""Survive and Advance"" ",1,0.000166524362417131
"379","""The 1992 French Open Championships"" ",1,0.000361013895720682
"380","""The 1998 French Open Championships"" ",1,0.000361013895720688
"381","""The Four Scholars of Jiangnan"" ",1,0.000191539752837772
"382","""The Past Lives Project"" ",1,0.000247253639758245
"383","""The Prince of Tennis"" ",1,0.000361013895720686
"384","""Visiting Sacred Places of the Tohoku Region"" ",1,0.000273800794750832
"385","""Witness Insecurity"" ",1,0.000169288022382413
"386","2012 Gold Rush Expedition Race ",1,0.000166524362417127
"387","2013 Gold Rush Expedition Race ",1,0.000166524362417127
"388","2014 Gold Rush Expedition Race ",1,0.000175099986662458
"389","A Christmas to Remember ",1,0.000158749512219425
"390","Ace of Clubs ",1,0.000297779837619582
"391","Across the Divide ",1,0.000289333383436142
"392","Adventures of Frank and Jesse James ",1,0.000438634562333112
"393","Adventures of Tron ",1,0.00025339582260257
"394","Affectionately Yours, Screwtape: The Devil and C.S. Lewis ",1,0.000158749512219421
"395","Allegiance of Powers ",1,0.000348673654518567
"396","America's Iliad: The Siege of Charleston ",1,0.000178158234014243
"397","American Bandits: Frank and Jesse James ",1,0.000297779837619605
"398","Apophis ",1,0.000163849487592456
"399","Around the World in Seven Minutes and Four Times on Saturday ",1,0.000220526412496883
"400","As the Sun Went Down ",1,0.000166524362417135
"401","Battle of Rogue River ",1,0.000403898124700776
"402","Behind the Action in 'Biker Boyz' ",1,0.000178158234014251
"403","Best of Both Worlds ",1,0.000188009392263247
"404","Beyond Redemption ",1,0.000273800794750841
"405","Brandon Bryant the Documentary: Drones & Deceptions ",1,0.000289333383436114
"406","Brimstone and the Borderhounds: Forza Infernis ",1,0.000281352876104286
"407","Brothers in the Saddle ",1,0.000149446194604301
"408","Bureaucracy of Love ",1,0.000388514466312618
"409","Call of the Coyote: A Legend of the Golden West ",1,0.000361013895720695
"410","Call of the Desert ",1,0.000306734272636928
"411","Call of the Forest ",1,0.000361013895720705
