"","document","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","cluster"
"31","King of Dodge City ",0.000403898124700766,0.000403898124700768,0.000403898124700775,0.00040389812470077,0.000403898124700767,0.000403898124700772,0.000403898124700766,0.990306445007182,0.000403898124700781,0.000403898124700772,0.000403898124700748,0.000403898124700773,0.00040389812470077,0.00040389812470077,0.000403898124700771,0.000403898124700756,0.000403898124700763,0.000403898124700772,0.000403898124700767,0.00040389812470077,0.000403898124700764,0.000403898124700759,0.000403898124700775,0.000403898124700754,0.000403898124700757,5
"32","Spirit of the West ",0.000388514466312631,0.000388514466312637,0.000388514466312625,0.000388514466312632,0.000388514466312605,0.000388514466312628,0.00038851446631263,0.990675652808497,0.000388514466312636,0.000388514466312585,0.000388514466312631,0.00038851446631263,0.000388514466312627,0.000388514466312632,0.000388514466312623,0.000388514466312628,0.000388514466312628,0.000388514466312622,0.000388514466312634,0.000388514466312628,0.000388514466312629,0.000388514466312637,0.000388514466312629,0.000388514466312621,0.000388514466312624,5
"33","The Deal ",0.000479908081908946,0.000479908081908937,0.000479908081908951,0.00047990808190895,0.000479908081908955,0.00047990808190895,0.000479908081908948,0.988482206034185,0.00047990808190895,0.000479908081908942,0.000479908081908951,0.00047990808190894,0.000479908081908943,0.000479908081908952,0.000479908081908953,0.000479908081908952,0.000479908081908937,0.000479908081908947,0.00047990808190893,0.000479908081908941,0.000479908081908932,0.00047990808190895,0.000479908081908954,0.000479908081908954,0.000479908081908952,5
"34","The Last Frontier ",0.000438634562333098,0.000438634562333102,0.284856722968522,0.000438634562333093,0.000438634562333093,0.000438634562333096,0.000438634562333102,0.705054682097817,0.000438634562333107,0.000438634562333115,0.000438634562333096,0.000438634562333095,0.000438634562333099,0.000438634562333094,0.000438634562333105,0.000438634562333089,0.000438634562333104,0.000438634562333088,0.000438634562333083,0.0004386345623331,0.000438634562333097,0.000438634562333092,0.000438634562333097,0.000438634562333102,0.000438634562333113,5
"35","The Royal Rider ",0.000458344036148576,0.000458344036148594,0.000458344036148574,0.000458344036148598,0.000458344036148574,0.000458344036148592,0.000458344036148593,0.705339378031233,0.0004583440361486,0.000458344036148564,0.000458344036148597,0.000458344036148577,0.000458344036148585,0.000458344036148572,0.00045834403614859,0.000458344036148597,0.000458344036148593,0.000458344036148582,0.000458344036148573,0.000458344036148596,0.000458344036148582,0.000458344036148591,0.000458344036148591,0.284118709137349,0.000458344036148564,5
"36","Too Close to the Raven ",0.000241402176649001,0.000241402176649005,0.000241402176649017,0.000241402176649011,0.00024140217664901,0.000241402176649015,0.000241402176649008,0.994206347760424,0.000241402176648994,0.000241402176649007,0.000241402176649001,0.000241402176649011,0.000241402176649005,0.00024140217664901,0.000241402176649006,0.00024140217664901,0.000241402176649008,0.000241402176649013,0.000241402176649022,0.00024140217664901,0.000241402176649015,0.000241402176649004,0.000241402176649008,0.000241402176649007,0.000241402176648996,5
"37","Knight of the Plains ",0.000438634562333102,0.000438634562333102,0.000438634562333096,0.000438634562333104,0.000438634562333071,0.000438634562333097,0.0004386345623331,0.989472770504006,0.00043863456233309,0.00043863456233309,0.000438634562333101,0.0004386345623331,0.000438634562333101,0.000438634562333087,0.000438634562333103,0.000438634562333104,0.000438634562333095,0.000438634562333101,0.000438634562333086,0.000438634562333106,0.000438634562333098,0.000438634562333104,0.00043863456233311,0.000438634562333095,0.000438634562333106,5
"38","The Avenging Angel ",0.000668662350014139,0.000668662350014146,0.000668662350014144,0.000668662350014143,0.000668662350014139,0.000668662350014138,0.000668662350014138,0.771604750858963,0.000668662350014137,0.000668662350014134,0.000668662350014121,0.0894932407249583,0.124191436715767,0.000668662350014113,0.000668662350014145,0.000668662350014122,0.000668662350014145,0.000668662350014126,0.000668662350014146,0.000668662350014137,0.000668662350014147,0.000668662350014139,0.000668662350014141,0.000668662350014145,0.000668662350014116,5
"39","The Cape Canaveral Monsters ",0.000479908081908929,0.000479908081908939,0.000479908081908936,0.000479908081908922,0.000479908081908947,0.000479908081908946,0.000479908081908924,0.737663097587989,0.00047990808190895,0.000479908081908953,0.000479908081908936,0.000479908081908962,0.000479908081908942,0.000479908081908934,0.000479908081908932,0.251299016528106,0.000479908081908932,0.000479908081908931,0.000479908081908949,0.000479908081908946,0.000479908081908949,0.000479908081908945,0.000479908081908946,0.000479908081908953,0.000479908081908939,5
"40","Three Young Texans ",0.000529755685176317,0.000529755685176336,0.000529755685176332,0.000529755685176335,0.000529755685176344,0.000529755685176325,0.000529755685176336,0.987285863555768,0.000529755685176342,0.000529755685176327,0.000529755685176333,0.000529755685176331,0.00052975568517634,0.000529755685176317,0.000529755685176343,0.000529755685176337,0.00052975568517633,0.000529755685176336,0.000529755685176332,0.000529755685176333,0.00052975568517634,0.000529755685176337,0.00052975568517633,0.000529755685176343,0.000529755685176316,5
